yield,[Alcohol](mM),Temperature(°C),[HBr](mM),spectrum_dir
-0.031617607310682416,30.0,16.0,0.0,C:\
0.036007893508866566,30.0,28.5,0.0,C:\
0.07714869679327663,30.0,41.0,0.0,C:\
0.02879784718206935,30.0,53.5,0.0,C:\
0.08886762243616175,30.0,66.0,0.0,C:\
0.5980436914908012,30.0,16.0,75.0,C:\
0.9587272300905348,30.0,28.5,75.0,C:\
1.0180650503516446,30.0,41.0,75.0,C:\
0.8827330322532063,30.0,53.5,75.0,C:\
0.94670358107998,30.0,66.0,75.0,C:\
0.8419247923465107,30.0,16.0,150.0,C:\
0.9618137240679304,30.0,28.5,150.0,C:\
0.9563189948493259,30.0,41.0,150.0,C:\
0.9011103878327518,30.0,53.5,150.0,C:\
0.9400052878705978,30.0,66.0,150.0,C:\
0.8955206553400039,30.0,16.0,225.0,C:\
0.9399612518728944,30.0,28.5,225.0,C:\
0.9395162246347226,30.0,41.0,225.0,C:\
0.8990404037755013,30.0,53.5,225.0,C:\
0.9095541712811012,30.0,66.0,225.0,C:\
0.9191387092193146,30.0,16.0,300.0,C:\
0.9418555320638048,30.0,28.5,300.0,C:\
0.9421421994859572,30.0,41.0,300.0,C:\
0.8761526287989271,30.0,53.5,300.0,C:\
0.8808870027657321,30.0,66.0,300.0,C:\
0.08208206852141409,97.5,16.0,0.0,C:\
0.0971809344778869,97.5,28.5,0.0,C:\
0.07725894603915863,97.5,41.0,0.0,C:\
0.08237397265167345,97.5,53.5,0.0,C:\
0.10320685653572426,97.5,66.0,0.0,C:\
0.6365312651100936,97.5,16.0,75.0,C:\
0.9055458213996914,97.5,28.5,75.0,C:\
0.9763327176524684,97.5,41.0,75.0,C:\
0.9422450956737478,97.5,53.5,75.0,C:\
0.991692122821256,97.5,66.0,75.0,C:\
0.7181519142074286,97.5,16.0,150.0,C:\
0.8579506702459998,97.5,28.5,150.0,C:\
0.9086866776438338,97.5,41.0,150.0,C:\
0.8621868921214997,97.5,53.5,150.0,C:\
0.9113679230419792,97.5,66.0,150.0,C:\
0.8328658918716965,97.5,16.0,225.0,C:\
0.9013499611904852,97.5,28.5,225.0,C:\
0.9303549495145944,97.5,41.0,225.0,C:\
0.8812916356791759,97.5,53.5,225.0,C:\
0.9022215138947304,97.5,66.0,225.0,C:\
0.8717253652408951,97.5,16.0,300.0,C:\
0.9045309560853988,97.5,28.5,300.0,C:\
0.9170238955187564,97.5,41.0,300.0,C:\
0.8868459537450093,97.5,53.5,300.0,C:\
0.8597767923034318,97.5,66.0,300.0,C:\
0.10508605438518792,165.0,16.0,0.0,C:\
0.0704744290038044,165.0,28.5,0.0,C:\
0.03414533307100731,165.0,41.0,0.0,C:\
0.06400326394893696,165.0,53.5,0.0,C:\
0.008270905849315113,165.0,66.0,0.0,C:\
0.8960023783506745,165.0,16.0,75.0,C:\
1.02578296157656,165.0,28.5,75.0,C:\
1.0260253907595691,165.0,41.0,75.0,C:\
1.0258018184311917,165.0,53.5,75.0,C:\
1.0075236793180125,165.0,66.0,75.0,C:\
0.6794912684050294,165.0,16.0,150.0,C:\
0.7976414739418569,165.0,28.5,150.0,C:\
0.8638458648468872,165.0,41.0,150.0,C:\
0.8536618624548051,165.0,53.5,150.0,C:\
0.8936550011915383,165.0,66.0,150.0,C:\
0.7377181465247382,165.0,16.0,225.0,C:\
0.80178869891399,165.0,28.5,225.0,C:\
0.8466193019118453,165.0,41.0,225.0,C:\
0.8189324417199728,165.0,53.5,225.0,C:\
0.8452950899488272,165.0,66.0,225.0,C:\
0.7945985945592593,165.0,16.0,300.0,C:\
0.8379308648002972,165.0,28.5,300.0,C:\
0.8717752463057327,165.0,41.0,300.0,C:\
0.8370448430125919,165.0,53.5,300.0,C:\
0.8343173289370291,165.0,66.0,300.0,C:\
0.09214538068596312,232.5,16.0,0.0,C:\
0.07138669082233795,232.5,28.5,0.0,C:\
0.0518085126533494,232.5,41.0,0.0,C:\
0.06686217346465595,232.5,53.5,0.0,C:\
0.04998703458712672,232.5,66.0,0.0,C:\
1.011096239477992,232.5,16.0,75.0,C:\
1.0220134082403405,232.5,28.5,75.0,C:\
1.0262177622871045,232.5,41.0,75.0,C:\
1.019903550225406,232.5,53.5,75.0,C:\
1.02623960940263,232.5,66.0,75.0,C:\
0.8057962636843499,232.5,16.0,150.0,C:\
0.9171610971696412,232.5,28.5,150.0,C:\
0.9894031625897988,232.5,41.0,150.0,C:\
0.9870175887176896,232.5,53.5,150.0,C:\
0.9994530582614808,232.5,66.0,150.0,C:\
0.6832403118240142,232.5,16.0,225.0,C:\
0.7295428899710634,232.5,28.5,225.0,C:\
0.7997976077778919,232.5,41.0,225.0,C:\
0.7997369509999039,232.5,53.5,225.0,C:\
0.8172029038927099,232.5,66.0,225.0,C:\
0.7341208902910505,232.5,16.0,300.0,C:\
0.7525803857331237,232.5,28.5,300.0,C:\
0.7966501497814136,232.5,41.0,300.0,C:\
0.7881038078858841,232.5,53.5,300.0,C:\
0.7729756787370867,232.5,66.0,300.0,C:\
0.10089247248393284,300.0,16.0,0.0,C:\
0.08380759223610923,300.0,28.5,0.0,C:\
0.0864933106382324,300.0,41.0,0.0,C:\
0.08550014020754304,300.0,53.5,0.0,C:\
0.0983682194369151,300.0,66.0,0.0,C:\
1.0205813451826895,300.0,16.0,75.0,C:\
1.018647308643045,300.0,28.5,75.0,C:\
1.0251588229175486,300.0,41.0,75.0,C:\
1.0166520723162975,300.0,53.5,75.0,C:\
1.0246439770792837,300.0,66.0,75.0,C:\
0.8733420294556176,300.0,16.0,150.0,C:\
0.9452577181997768,300.0,28.5,150.0,C:\
1.0100773686210405,300.0,41.0,150.0,C:\
1.004597963681908,300.0,53.5,150.0,C:\
0.9887176263532876,300.0,66.0,150.0,C:\
0.7328755265710853,300.0,16.0,225.0,C:\
0.7527358838736564,300.0,28.5,225.0,C:\
0.8601297631592829,300.0,41.0,225.0,C:\
0.8892817738643473,300.0,53.5,225.0,C:\
0.8589866725215245,300.0,66.0,225.0,C:\
0.6538020107835791,300.0,16.0,300.0,C:\
0.6782207302082872,300.0,28.5,300.0,C:\
0.7245570160747761,300.0,41.0,300.0,C:\
0.7525974537579109,300.0,53.5,300.0,C:\
0.7038034650003109,300.0,66.0,300.0,C:\
