uuid,local_index,global_index,vol#Dioxane,vol#SN1OH03,vol#HBr,temperature,slot_id,plate_barcode,container_id,status,plate_barcodes_for_dilution,timestamp,full_status,timestamp_dilution,is_outlier,c#SN1OH03,c#HBr,nanodrop_filepath,timestamp_nanodrop,pc#SN1Br03,pc#SN1OH03,pc#HBr,yield,conversion,HBr_relative_change,run_name,c#H2O,c#acetic_acid,product_sum
hz2jEiw5mpMNxwLwm3FYCi,10,134,66.55172414,380.0,53.44827586,26,0,70,10,completed,88,1702267511,"{""Dioxane"": [""completed"", 1702266421], ""SN1OH03"": [""completed"", 1702266503], ""HBr"": [""completed"", 1702267511]}",1702442790,0,0.2999999999999999,0.16034482758,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.15366593411694265,0.1614079300023646,0.014423829603315862,0.4877139985776631,0.4619735666587845,0.08995506634674236,simple-reactions/2023-12-11-run01/,0.7799651726939456,0.30584588396977,0.31507386411930727
ckurjPPUJne2YEDdx7XRHD,11,51,301.3275862,123.5,75.17241379,26,0,70,11,completed,88,1702267379,"{""Dioxane"": [""completed"", 1702265956], ""SN1OH03"": [""completed"", 1702266986], ""HBr"": [""completed"", 1702267379]}",1702442805,0,0.09750000000194996,0.2255172413745103,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.17765340827666667,0.022152971355852726,0.01442382960301013,0.8891278076476031,0.7727900373804136,0.06395887744590169,simple-reactions/2023-12-11-run01/,1.0969832751628579,0.4301574368165914,0.1998063796325194
4KoRBUT5EyFqhCHMNkD6my,12,73,240.6551724,209.0,50.34482759,26,0,70,12,completed,88,1702267533,"{""Dioxane"": [""completed"", 1702266123], ""SN1OH03"": [""completed"", 1702266836], ""HBr"": [""completed"", 1702267533]}",1702442820,0,0.16500000000329995,0.1510344827730207,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.15382014015919968,0.061094420998012676,0.014423829603315862,0.7157269350710889,0.6297307818376315,0.09550024165668472,simple-reactions/2023-12-11-run01/,0.7346768724424597,0.2880870907456279,0.21491456115721236
8GzF8HpK2ukUXFKBJ2iGmp,13,54,292.0172414,123.5,84.48275862,26,0,70,13,completed,88,1702267302,"{""Dioxane"": [""completed"", 1702265978], ""SN1OH03"": [""completed"", 1702266998], ""HBr"": [""completed"", 1702267302]}",1702442836,0,0.09749999999609996,0.2534482758498621,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.20051336492575372,0.023150881676542924,0.014423829603018868,0.8964927026637918,0.7625550597182671,0.05691034809628481,simple-reactions/2023-12-11-run01/,1.2328481761820016,0.4834338165928084,0.22366424660229664
59YzrL4b64BKwmJmbxGj3H,14,63,271.68965519999995,209.0,19.31034483,26,0,70,14,completed,88,1702267705,"{""Dioxane"": [""completed"", 1702266066], ""SN1OH03"": [""completed"", 1702266849], ""HBr"": [""completed"", 1702267705]}",1702442851,0,0.16499999999009993,0.057931034486524126,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.07962932983219376,0.1063914251926502,4.739509440915198e-10,0.4280669101765493,0.3552034836422199,8.181296058190881e-09,simple-reactions/2023-12-11-run01/,0.28179386887348895,0.1104991580908606,0.18602075502484394
L6xtbQeeVNwpRqLzB37Ud4,15,37,344.7758621000001,123.5,31.72413793,26,0,70,15,completed,88,1702267640,"{""Dioxane"": [""completed"", 1702265881], ""SN1OH03"": [""completed"", 1702267010], ""HBr"": [""completed"", 1702267640]}",1702442866,0,0.09749999999414996,0.09517241378428967,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.0922476809941494,0.035239868931105714,8.853524584232626e-07,0.7235818795500695,0.6385654468387679,9.302616411830568e-06,simple-reactions/2023-12-11-run01/,0.4629470702191961,0.18153433112065967,0.12748754992525513
RfnQ7h2M3QSkPzphnDkvJF,16,78,225.137931,209.0,65.86206897,26,0,70,16,completed,88,1702267412,"{""Dioxane"": [""completed"", 1702266151], ""SN1OH03"": [""completed"", 1702266861], ""HBr"": [""completed"", 1702267412]}",1702442882,0,0.16500000000989995,0.1975862069218552,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.1855725964704808,0.05626910520439307,0.01442382946093615,0.7673308415599891,0.6589751199938367,0.07300018399887971,simple-reactions/2023-12-11-run01/,0.9611183742541181,0.3768810570836668,0.24184170167487387
7kxSCnHP6nNLpt5HF3egyP,17,90,195.5,294.5,10.0,26,0,70,17,completed,88,1702267779,"{""Dioxane"": [""completed"", 1702266220], ""SN1OH03"": [""completed"", 1702266679], ""HBr"": [""completed"", 1702267779]}",1702442897,0,0.2324999999999999,0.03,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.04681333025972178,0.2017104588416269,5.828253443882342e-11,0.18836559038873807,0.1324281340145075,1.942751147960781e-09,simple-reactions/2023-12-11-run01/,0.14592896779999998,0.05722277829333334,0.24852378910134867
8YCBQDAxdopZ4qpQdXLjJZ,18,45,319.94827589999994,123.5,56.55172414,26,0,70,18,completed,88,1702267489,"{""Dioxane"": [""completed"", 1702265941], ""SN1OH03"": [""completed"", 1702267022], ""HBr"": [""completed"", 1702267489]}",1702442912,0,0.09749999999219996,0.16965517240642758,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.137762445295251,0.021872101735734475,0.014423829462351332,0.8629864140154508,0.7756707514104179,0.08501850699722532,simple-reactions/2023-12-11-run01/,0.8252534730400339,0.32360467723100833,0.15963454703098548
nCxFjFweZyuu2nxc5ceEHX,19,16,402.3448276,38.0,59.65517241,26,0,70,19,completed,88,1702267478,"{""Dioxane"": [""completed"", 1702265772], ""SN1OH03"": [""completed"", 1702267101], ""HBr"": [""completed"", 1702267478]}",1702442928,0,0.029999999999399993,0.1789655172264207,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.10576188616868228,0.006893844132334752,0.014423829474583759,0.938806094337906,0.7702051955842457,0.08059557895913128,simple-reactions/2023-12-11-run01/,0.870541773354823,0.34136347047997334,0.11265573030101703
KZjwATveq5oimGCstoDEbS,20,121,106.8965517,380.0,13.10344828,26,0,70,20,completed,88,1702267758,"{""Dioxane"": [""completed"", 1702266356], ""SN1OH03"": [""completed"", 1702266517], ""HBr"": [""completed"", 1702267758]}",1702442943,0,0.30000000001199983,0.03931034484157241,simple-reactions/2023-12-11-run01/nanodrop_spectra/2023-12-14_10-45-42_UV-Vis_plate_88.csv,1702518342.0,0.05563340060700917,0.2351110372213921,0.014423829603144919,0.19134811665715945,0.2162965426267073,0.36692198100208695,simple-reactions/2023-12-11-run01/,0.1912172682197572,0.07498157158345928,0.29074443782840126
