ic001,am001,ald001,ptsa,yield
0.12,0.12,0.12,0.02193103448275862,-0.0003907339325130225
0.12,0.24,0.12,0.02193103448275862,0.0007987832070576355
0.3,0.15,0.21,0.02193103448275862,-0.0023503092111432783
0.3,0.15,0.18,0.02193103448275862,0.0014354089656989086
0.12,0.3,0.12,0.02193103448275862,0.0004930056990525343
0.3,0.3,0.3,0.02193103448275862,-0.00048430161707162695
0.27,0.24,0.12,0.02193103448275862,-0.00026079792086244213
0.27,0.12,0.18,0.02193103448275862,0.002877012042206547
0.3,0.24,0.27,0.02193103448275862,0.00010738408246890742
0.3,0.27,0.15,0.02193103448275862,-0.00028700372352408513
0.3,0.27,0.3,0.02193103448275862,0.00033048536111751007
0.12,0.12,0.3,0.02193103448275862,0.0016816078091962767
0.3,0.18,0.3,0.02193103448275862,0.005016053752942846
0.3,0.21,0.21,0.02193103448275862,0.0005284745570742212
0.3,0.24,0.12,0.02193103448275862,-0.0002379863251611359
0.18,0.27,0.12,0.02193103448275862,0.00032967664605701707
0.18,0.3,0.3,0.02193103448275862,5.376933617743922e-05
0.21,0.12,0.21,0.02193103448275862,0.005564622022700862
0.18,0.24,0.3,0.02193103448275862,-0.0004979368256109841
0.18,0.12,0.24,0.02193103448275862,0.00192773740516614
0.18,0.18,0.12,0.02193103448275862,0.00011533220380403985
0.18,0.21,0.12,0.02193103448275862,0.00036101046609692683
0.15,0.12,0.3,0.02193103448275862,0.004583896537510987
0.24,0.24,0.12,0.02193103448275862,-0.00013679426991037406
0.12,0.3,0.3,0.02193103448275862,9.019487167326356e-05
0.24,0.3,0.24,0.02193103448275862,0.00029341351577307466
0.24,0.15,0.12,0.02193103448275862,0.00010626798730201204
0.21,0.3,0.12,0.02193103448275862,-0.00010379290218547406
0.24,0.12,0.21,0.02193103448275862,0.002178431252090475
0.15,0.12,0.18,0.02193103448275862,0.0007215276523027188
0.3,0.3,0.24,0.02193103448275862,0.00011800561776296821
0.3,0.18,0.15,0.0247398119122257,-0.0007312614590906513
0.24,0.18,0.18,0.0247398119122257,-0.00028430892854828935
0.24,0.18,0.12,0.0247398119122257,0.0004375695041673398
0.15,0.15,0.12,0.0247398119122257,0.0005095693391179304
