ic001,ald001,am001,ptsa,IIO029A,yield,reaction_plate_id,diluted_plate_id,vial_id,is_outlier
0.24,0.3,0.3,0.02193103448275862,1.1053669296204006e-10,4.605695540085002e-10,36,47,0,0
0.12,0.12,0.12,0.1510344827586207,0.002652941112409827,0.022107842603415227,36,47,1,0
0.24,0.24,0.3,0.061655172413793084,-1.2559345800164296e-11,-5.2330607500684563e-11,36,47,2,0
0.3,0.24,0.3,0.23048275862068965,0.00809756817410816,0.03373986739211733,36,47,3,0
0.24,0.18,0.12,0.2702068965517241,0.0025003156669160327,0.02083596389096694,36,47,4,0
0.3,0.15,0.21,0.1113103448275862,0.001144235365012167,0.0076282357667477796,36,47,5,0
0.18,0.18,0.12,0.09144827586206897,0.004284359389817086,0.035702994915142394,36,47,6,0
0.3,0.3,0.18,0.041793103448275866,0.0015033880682577688,0.008352155934765383,36,47,7,0
0.27,0.12,0.21,0.09144827586206897,4.5796543290395114e-09,3.8163786075329255e-08,36,47,8,0
0.15,0.12,0.24,0.07158620689655172,9.745872399183349e-12,8.12156033265279e-11,36,47,9,0
0.24,0.18,0.3,0.08151724137931034,3.151385061902713e-09,1.7507694788348406e-08,36,47,10,0
0.15,0.12,0.3,0.09144827586206897,-1.1549630379733905e-11,-9.624691983111587e-11,36,47,11,0
0.15,0.18,0.12,0.13117241379310346,0.00542175978205764,0.045181331517147004,36,47,12,0
0.18,0.24,0.18,0.1907586206896552,0.0079034371463619,0.04390798414645498,36,47,13,0
0.24,0.3,0.3,0.2106206896551724,0.007793142254438038,0.0324714260601585,36,47,14,0
0.3,0.15,0.12,0.061655172413793084,0.00271299052502468,0.022608254375205663,36,47,15,0
0.18,0.3,0.24,0.08151724137931034,0.0013924510164410831,0.007735838980228241,36,47,16,0
0.24,0.3,0.18,0.23048275862068965,0.00966795001092588,0.05371083339403267,36,47,17,0
0.3,0.15,0.27,0.2106206896551724,0.005472130996489591,0.036480873309930606,36,47,18,0
0.12,0.24,0.3,0.09144827586206897,4.508623765657808e-09,3.757186471381506e-08,36,47,19,0
0.24,0.12,0.3,0.25034482758620685,0.004524062101517086,0.03770051751264238,36,47,20,0
0.15,0.12,0.21,0.12124137931034484,0.0003176899144350638,0.002647415953625532,36,47,21,0
0.21,0.12,0.18,0.02193103448275862,1.7045805165576578e-10,1.4204837637980482e-09,36,47,22,0
0.18,0.18,0.18,0.1907586206896552,0.008388550076282248,0.046603055979345824,36,47,23,0
0.24,0.15,0.12,0.2801379310344828,0.002279228198998484,0.01899356832498737,36,47,24,0
0.12,0.12,0.18,0.2900689655172414,0.001996310204375149,0.016635918369792904,36,47,25,0
0.24,0.12,0.24,0.041793103448275866,5.902024501239221e-11,4.918353751032683e-10,36,47,26,0
0.3,0.12,0.27,0.1510344827586207,-4.719979877987213e-13,-3.933316564989345e-12,36,47,27,0
0.12,0.3,0.18,0.13117241379310346,0.0043284512421483705,0.03607042701790309,36,47,28,0
0.12,0.18,0.3,0.02193103448275862,5.271845251909261e-09,4.3932043765910514e-08,36,47,29,0
0.15,0.12,0.27,0.061655172413793084,4.9273546059231754e-11,4.1061288382693135e-10,36,47,30,0
0.18,0.12,0.24,0.1510344827586207,0.0003939890476507489,0.003283242063756241,36,47,31,0
0.12,0.3,0.12,0.1113103448275862,0.0050521469178519286,0.04210122431543275,36,47,32,0
0.12,0.18,0.18,0.13117241379310346,0.0022275356084101947,0.018562796736751628,36,47,33,0
0.24,0.24,0.18,0.12124137931034484,0.007046635401664998,0.03914797445369444,36,47,34,0
0.27,0.12,0.24,0.02193103448275862,1.2394712421889587e-05,0.00010328927018241325,36,47,35,0
0.24,0.24,0.24,0.3,0.00719008835960038,0.029958701498334912,36,47,36,0
0.12,0.15,0.12,0.02193103448275862,3.496835297596333e-10,2.9140294146636114e-09,36,47,37,0
0.3,0.27,0.15,0.2801379310344828,0.00924885439653887,0.061659029310259135,36,47,38,0
0.24,0.24,0.24,0.1907586206896552,0.008760651396450141,0.03650271415187559,36,47,39,0
0.12,0.21,0.12,0.08151724137931034,0.0021089824829372147,0.017574854024476786,36,47,40,0
0.3,0.21,0.24,0.25034482758620685,0.02068392433541124,0.09849487778767256,36,47,41,0
0.18,0.12,0.27,0.061655172413793084,7.0612467364716575e-12,5.884372280393047e-11,36,47,42,0
0.12,0.12,0.12,0.08151724137931034,0.0010673684069799226,0.008894736724832689,36,47,43,0
0.12,0.18,0.24,0.2900689655172414,0.0033105735630979865,0.027588113025816555,36,47,44,0
0.3,0.15,0.21,0.2702068965517241,0.00996773654889231,0.0664515769926154,36,47,45,0
0.12,0.15,0.12,0.2900689655172414,0.0010741535809617967,0.008951279841348306,36,47,46,0
0.3,0.15,0.24,0.2602758620689655,0.01395818543927875,0.09305456959519168,36,47,47,0
0.12,0.12,0.27,0.12124137931034484,1.0539519795300857e-09,8.782933162750712e-09,36,47,48,0
0.12,0.18,0.3,0.2801379310344828,0.0058813327166831065,0.04901110597235921,36,47,49,0
0.21,0.24,0.12,0.1113103448275862,0.010978308178987692,0.0914859014915641,36,47,50,0
0.12,0.18,0.24,0.041793103448275866,3.841319632604209e-10,3.2010996938368426e-09,36,47,51,0
0.3,0.21,0.21,0.10137931034482756,0.0023719555539943467,0.01129502644759213,36,47,52,0
0.27,0.12,0.27,0.07158620689655172,7.853102042876894e-10,6.544251702397412e-09,37,48,0,0
0.12,0.12,0.18,0.3,0.0006783938460130033,0.00565328205010836,37,48,1,0
0.15,0.12,0.15,0.23048275862068965,0.0019066079868818961,0.015888399890682466,37,48,2,0
0.3,0.27,0.21,0.17089655172413792,0.015114813937709085,0.07197530446528136,37,48,3,0
0.12,0.12,0.21,0.12124137931034484,0.00013023935694812008,0.0010853279745676675,37,48,4,0
0.12,0.21,0.12,0.041793103448275866,0.00037848928156235386,0.003154077346352949,37,48,5,0
0.12,0.12,0.12,0.13117241379310346,0.002656101486852806,0.02213417905710672,37,48,6,0
0.27,0.12,0.24,0.12124137931034484,2.31786818748256e-11,1.9315568229021333e-10,37,48,7,0
0.15,0.12,0.15,0.2801379310344828,0.0019573287324957662,0.01631107277079805,37,48,8,0
