Yield,[Alcohol](mM),[HBr](mM),Temperature(°C),spectrum_dir
0.0,5.742,0.0,6.0,C:\
0.0,5.742,0.0,16.0,C:\
0.0,5.742,0.0,26.0,C:\
0.0,5.742,0.0,36.0,C:\
0.0,5.742,0.0,46.0,C:\
0.0,5.742,0.0,55.99999999999999,C:\
0.0,5.742,0.0,66.0,C:\
0.1857368339819424,5.742,11.433333333333332,6.0,C:\
0.2382859157848543,5.742,11.433333333333332,16.0,C:\
0.4127498043032051,5.742,11.433333333333332,26.0,C:\
0.7422836591085424,5.742,11.433333333333332,36.0,C:\
0.9273054954525272,5.742,11.433333333333332,46.0,C:\
0.9545088960714814,5.742,11.433333333333332,55.99999999999999,C:\
0.939362467445462,5.742,11.433333333333332,66.0,C:\
0.2115443664085231,5.742,22.866666666666664,6.0,C:\
0.3843243741343566,5.742,22.866666666666664,16.0,C:\
0.7039619744969178,5.742,22.866666666666664,26.0,C:\
0.9148723901888696,5.742,22.866666666666664,36.0,C:\
0.9527592609076384,5.742,22.866666666666664,46.0,C:\
0.9710688672704252,5.742,22.866666666666664,55.99999999999999,C:\
0.9385445884517728,5.742,22.866666666666664,66.0,C:\
0.2772036458711402,5.742,34.3,6.0,C:\
0.5410642234430191,5.742,34.3,16.0,C:\
0.8224741191582886,5.742,34.3,26.0,C:\
0.94749037000099,5.742,34.3,36.0,C:\
0.9628318853850996,5.742,34.3,46.0,C:\
0.9615778510846876,5.742,34.3,55.99999999999999,C:\
0.9243574729624084,5.742,34.3,66.0,C:\
0.4781084224355196,5.742,45.73333333333333,6.0,C:\
0.6539779841613866,5.742,45.73333333333333,16.0,C:\
0.8240008914893625,5.742,45.73333333333333,26.0,C:\
0.9449126887261938,5.742,45.73333333333333,36.0,C:\
0.9536765255517378,5.742,45.73333333333333,46.0,C:\
0.9484203637273976,5.742,45.73333333333333,55.99999999999999,C:\
0.9486653208134864,5.742,45.73333333333333,66.0,C:\
0.5689839393634586,5.742,57.16666666666666,6.0,C:\
0.7336696942925052,5.742,57.16666666666666,16.0,C:\
0.8592542776573708,5.742,57.16666666666666,26.0,C:\
0.9489395943352514,5.742,57.16666666666666,36.0,C:\
0.9568683663930562,5.742,57.16666666666666,46.0,C:\
0.956355406219973,5.742,57.16666666666666,55.99999999999999,C:\
0.9460109096649936,5.742,57.16666666666666,66.0,C:\
0.6668745432611296,5.742,68.6,6.0,C:\
0.7951814193423732,5.742,68.6,16.0,C:\
0.8817949107438259,5.742,68.6,26.0,C:\
0.9491261812432328,5.742,68.6,36.0,C:\
0.9584548451429552,5.742,68.6,46.0,C:\
0.9560620473603804,5.742,68.6,55.99999999999999,C:\
0.9588546233188708,5.742,68.6,66.0,C:\
0.0,8.601666666666667,0.0,6.0,C:\
0.0,8.601666666666667,0.0,16.0,C:\
3.5252008962006986e-05,8.601666666666667,0.0,26.0,C:\
0.0,8.601666666666667,0.0,36.0,C:\
0.0,8.601666666666667,0.0,46.0,C:\
0.0,8.601666666666667,0.0,55.99999999999999,C:\
0.0,8.601666666666667,0.0,66.0,C:\
0.2260737906225843,8.601666666666667,11.433333333333332,6.0,C:\
0.2687824506137086,8.601666666666667,11.433333333333332,16.0,C:\
0.4151037520568228,8.601666666666667,11.433333333333332,26.0,C:\
0.7250341541296506,8.601666666666667,11.433333333333332,36.0,C:\
0.9127840498503444,8.601666666666667,11.433333333333332,46.0,C:\
0.952002921653624,8.601666666666667,11.433333333333332,55.99999999999999,C:\
0.9271922638826552,8.601666666666667,11.433333333333332,66.0,C:\
0.2341835751065809,8.601666666666667,22.866666666666664,6.0,C:\
0.3904782748217348,8.601666666666667,22.866666666666664,16.0,C:\
0.728436816528693,8.601666666666667,22.866666666666664,26.0,C:\
0.8976016465126959,8.601666666666667,22.866666666666664,36.0,C:\
0.9440811293114738,8.601666666666667,22.866666666666664,46.0,C:\
0.9624610208969672,8.601666666666667,22.866666666666664,55.99999999999999,C:\
0.9332304089031926,8.601666666666667,22.866666666666664,66.0,C:\
0.2724591511133246,8.601666666666667,34.3,6.0,C:\
0.5258642671835587,8.601666666666667,34.3,16.0,C:\
0.8144458996686526,8.601666666666667,34.3,26.0,C:\
0.9335852094199244,8.601666666666667,34.3,36.0,C:\
0.948466974544332,8.601666666666667,34.3,46.0,C:\
0.9485667252573092,8.601666666666667,34.3,55.99999999999999,C:\
0.9255448420987836,8.601666666666667,34.3,66.0,C:\
0.4455233587280212,8.601666666666667,45.73333333333333,6.0,C:\
0.6598953089834797,8.601666666666667,45.73333333333333,16.0,C:\
0.8042541150375949,8.601666666666667,45.73333333333333,26.0,C:\
0.9341482642074372,8.601666666666667,45.73333333333333,36.0,C:\
0.947858011131992,8.601666666666667,45.73333333333333,46.0,C:\
0.9413546895166788,8.601666666666667,45.73333333333333,55.99999999999999,C:\
0.9370438723669474,8.601666666666667,45.73333333333333,66.0,C:\
0.5462023384166816,8.601666666666667,57.16666666666666,6.0,C:\
0.7251336245299622,8.601666666666667,57.16666666666666,16.0,C:\
0.8757996320395833,8.601666666666667,57.16666666666666,26.0,C:\
0.9424724498298022,8.601666666666667,57.16666666666666,36.0,C:\
0.9480566341265746,8.601666666666667,57.16666666666666,46.0,C:\
0.9435606417753124,8.601666666666667,57.16666666666666,55.99999999999999,C:\
0.9398891601216386,8.601666666666667,57.16666666666666,66.0,C:\
0.6668833805531784,8.601666666666667,68.6,6.0,C:\
0.7935983955490284,8.601666666666667,68.6,16.0,C:\
0.8793751360792035,8.601666666666667,68.6,26.0,C:\
