reactions,[SN10H01](mM),[HBr](mM),Temperature,yield,reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield#SN1Br01,yield#SN1Br01s1,run_name,spectrum_dir
22,22.90000004,61.50368516964,26.0,0.9143392105649046,22,30.34448226,380.0,0,89.65551774,0.0,0.0,22,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0019616320814901,2.877025721593123e-06,0.0092615758253493,0.9142135762541376,0.0001256343107671,simple-reactions/2023-07-05-run01/,C:\
23,5.7421750096854,47.3110555129413,26.0,0.9312199835689318,23,335.7484468,95.285,0,68.96655323,0.0,0.0,23,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0003949468915162,2.089972595072165e-05,0.0071099194379303,0.9275802954863724,0.0036396880825592,simple-reactions/2023-07-05-run01/,C:\
24,22.90000004,21.29123448256,26.0,0.6878640981646115,24,88.96321504,380.0,0,31.03678496,0.0,0.0,24,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0071479121645158,2.060758540694345e-05,0.0200674563259606,0.6869642036069281,0.0008998945576833,simple-reactions/2023-07-05-run01/,C:\
25,22.90000004,68.6,26.0,0.9242677090435804,25,20.0,380.0,0,100.0,0.0,0.0,25,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0017342694659313,9.009910499521052e-07,0.0127884531169286,0.9242283644563148,3.9344587265428894e-05,simple-reactions/2023-07-05-run01/,C:\
26,5.7421750098003,33.1184258605952,26.0,0.8370493035717422,26,356.4374113,95.285,0,48.27758872,0.0,0.0,26,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0009356914168598,3.342478217230563e-05,0.0127441666005344,0.8312283764639374,0.0058209271078047,simple-reactions/2023-07-05-run01/,C:\
27,11.461450019332299,42.580178964225205,26.0,0.9030644099930925,27,247.7397683,190.19,0,62.07023173,0.0,0.0,27,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0011110224199586,1.0025394103309238e-05,0.0120119035682277,0.9021897044291016,0.0008747055639905,simple-reactions/2023-07-05-run01/,C:\
28,11.461450019103,56.7728086160981,26.0,0.924291625907016,28,227.0508038,190.19,0,82.75919624,0.0,0.0,28,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0008677277456942,8.946637254483859e-06,0.0085994613359514,0.9235110407943492,0.0007805851126665,simple-reactions/2023-07-05-run01/,C:\
29,22.90000004,42.58017896678,26.0,0.8741764641161696,29,57.92976827,380.0,0,62.07023173,0.0,0.0,29,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0028813589767726,1.507740411512529e-07,0.0118857184074488,0.8741698800969168,6.58401925274638e-06,simple-reactions/2023-07-05-run01/,C:\
30,22.90000004,54.40737034614,26.0,0.90257230382917,30,40.68896451,380.0,0,79.31103549,0.0,0.0,30,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0022310942462091,2.0626269210149563e-05,0.0110170329770775,0.9016715933848852,0.0009007104442847,simple-reactions/2023-07-05-run01/,C:\
31,11.4614500204784,44.9456172430778,26.0,0.9140831069743144,31,244.29160750000003,190.19,0,65.51839248,0.0,0.0,31,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0009847321753286,5.428197172258523e-07,0.0101416915840693,0.9140357464993084,4.736047500586601e-05,simple-reactions/2023-07-05-run01/,C:\
