Yield,Alcohol(mM),HBr(mM),Temperature(°C)
0.0,5.742,0.0,6.0
0.0,5.742,0.0,16.0
0.0,5.742,0.0,26.0
0.0,5.742,0.0,36.0
0.0,5.742,0.0,46.0
0.0,5.742,0.0,55.99999999999999
0.0,5.742,0.0,66.0
0.1857368339819424,5.742,11.433333333333332,6.0
0.23828591578485436,5.742,11.433333333333332,16.0
0.4127498043032051,5.742,11.433333333333332,26.0
0.7422836591085424,5.742,11.433333333333332,36.0
0.9273054954525273,5.742,11.433333333333332,46.0
0.9545088960714814,5.742,11.433333333333332,55.99999999999999
0.9393624674454619,5.742,11.433333333333332,66.0
0.2115443664085231,5.742,22.866666666666664,6.0
0.3843243741343566,5.742,22.866666666666664,16.0
0.7039619744969178,5.742,22.866666666666664,26.0
0.9148723901888697,5.742,22.866666666666664,36.0
0.9527592609076383,5.742,22.866666666666664,46.0
0.9710688672704253,5.742,22.866666666666664,55.99999999999999
0.9385445884517729,5.742,22.866666666666664,66.0
0.27720364587114027,5.742,34.3,6.0
0.5410642234430191,5.742,34.3,16.0
0.8224741191582886,5.742,34.3,26.0
0.94749037000099,5.742,34.3,36.0
0.9628318853850997,5.742,34.3,46.0
0.9615778510846875,5.742,34.3,55.99999999999999
0.9243574729624084,5.742,34.3,66.0
0.47810842243551965,5.742,45.73333333333333,6.0
0.6539779841613866,5.742,45.73333333333333,16.0
0.8240008914893625,5.742,45.73333333333333,26.0
0.9449126887261938,5.742,45.73333333333333,36.0
0.9536765255517378,5.742,45.73333333333333,46.0
0.9484203637273977,5.742,45.73333333333333,55.99999999999999
0.9486653208134863,5.742,45.73333333333333,66.0
0.5689839393634586,5.742,57.16666666666666,6.0
0.7336696942925052,5.742,57.16666666666666,16.0
0.8592542776573708,5.742,57.16666666666666,26.0
0.9489395943352514,5.742,57.16666666666666,36.0
0.9568683663930562,5.742,57.16666666666666,46.0
0.956355406219973,5.742,57.16666666666666,55.99999999999999
0.9460109096649936,5.742,57.16666666666666,66.0
0.6668745432611296,5.742,68.6,6.0
0.7951814193423732,5.742,68.6,16.0
0.8817949107438259,5.742,68.6,26.0
0.9491261812432328,5.742,68.6,36.0
0.9584548451429552,5.742,68.6,46.0
0.9560620473603804,5.742,68.6,55.99999999999999
0.9588546233188708,5.742,68.6,66.0
0.0,8.601666666666667,0.0,6.0
0.0,8.601666666666667,0.0,16.0
3.5252008962006986e-05,8.601666666666667,0.0,26.0
0.0,8.601666666666667,0.0,36.0
0.0,8.601666666666667,0.0,46.0
0.0,8.601666666666667,0.0,55.99999999999999
0.0,8.601666666666667,0.0,66.0
0.22607379062258431,8.601666666666667,11.433333333333332,6.0
0.2687824506137086,8.601666666666667,11.433333333333332,16.0
0.4151037520568228,8.601666666666667,11.433333333333332,26.0
0.7250341541296506,8.601666666666667,11.433333333333332,36.0
0.9127840498503444,8.601666666666667,11.433333333333332,46.0
0.9520029216536241,8.601666666666667,11.433333333333332,55.99999999999999
0.9271922638826551,8.601666666666667,11.433333333333332,66.0
0.2341835751065809,8.601666666666667,22.866666666666664,6.0
0.3904782748217348,8.601666666666667,22.866666666666664,16.0
0.728436816528693,8.601666666666667,22.866666666666664,26.0
0.8976016465126959,8.601666666666667,22.866666666666664,36.0
0.9440811293114738,8.601666666666667,22.866666666666664,46.0
0.9624610208969671,8.601666666666667,22.866666666666664,55.99999999999999
0.9332304089031926,8.601666666666667,22.866666666666664,66.0
0.2724591511133246,8.601666666666667,34.3,6.0
0.5258642671835587,8.601666666666667,34.3,16.0
0.8144458996686526,8.601666666666667,34.3,26.0
0.9335852094199244,8.601666666666667,34.3,36.0
0.9484669745443319,8.601666666666667,34.3,46.0
0.9485667252573092,8.601666666666667,34.3,55.99999999999999
0.9255448420987836,8.601666666666667,34.3,66.0
0.44552335872802123,8.601666666666667,45.73333333333333,6.0
0.6598953089834797,8.601666666666667,45.73333333333333,16.0
0.8042541150375949,8.601666666666667,45.73333333333333,26.0
0.9341482642074372,8.601666666666667,45.73333333333333,36.0
0.947858011131992,8.601666666666667,45.73333333333333,46.0
0.9413546895166789,8.601666666666667,45.73333333333333,55.99999999999999
0.9370438723669474,8.601666666666667,45.73333333333333,66.0
0.5462023384166816,8.601666666666667,57.16666666666666,6.0
0.7251336245299622,8.601666666666667,57.16666666666666,16.0
0.8757996320395833,8.601666666666667,57.16666666666666,26.0
0.9424724498298022,8.601666666666667,57.16666666666666,36.0
0.9480566341265746,8.601666666666667,57.16666666666666,46.0
0.9435606417753124,8.601666666666667,57.16666666666666,55.99999999999999
0.9398891601216386,8.601666666666667,57.16666666666666,66.0
0.6668833805531784,8.601666666666667,68.6,6.0
0.7935983955490284,8.601666666666667,68.6,16.0
0.8793751360792035,8.601666666666667,68.6,26.0
0.9426909076398452,8.601666666666667,68.6,36.0
0.9497246114740349,8.601666666666667,68.6,46.0
0.9463475159669892,8.601666666666667,68.6,55.99999999999999
0.9451735041241018,8.601666666666667,68.6,66.0
4.683790689654483e-06,11.461333333333332,0.0,6.0
3.7221942665424876e-06,11.461333333333332,0.0,16.0
7.248213531911556e-05,11.461333333333332,0.0,26.0
2.3279470016879685e-06,11.461333333333332,0.0,36.0
2.540541824611354e-06,11.461333333333332,0.0,46.0
2.4795549165762622e-06,11.461333333333332,0.0,55.99999999999999
1.1253594752165092e-06,11.461333333333332,0.0,66.0
0.2803589094991527,11.461333333333332,11.433333333333332,6.0
0.3007199724509128,11.461333333333332,11.433333333333332,16.0
0.4086146068154496,11.461333333333332,11.433333333333332,26.0
0.7085205306580049,11.461333333333332,11.433333333333332,36.0
0.9016215452405105,11.461333333333332,11.433333333333332,46.0
0.9473366480958393,11.461333333333332,11.433333333333332,55.99999999999999
0.9172555474805897,11.461333333333332,11.433333333333332,66.0
0.25901463163201155,11.461333333333332,22.866666666666664,6.0
0.3953310647329314,11.461333333333332,22.866666666666664,16.0
0.7129308059974868,11.461333333333332,22.866666666666664,26.0
0.8878180320694982,11.461333333333332,22.866666666666664,36.0
0.9371994288099228,11.461333333333332,22.866666666666664,46.0
0.9370873262476231,11.461333333333332,22.866666666666664,55.99999999999999
0.9294142435191922,11.461333333333332,22.866666666666664,66.0
0.32125330846909356,11.461333333333332,34.3,6.0
0.5241040389172077,11.461333333333332,34.3,16.0
0.808625733506478,11.461333333333332,34.3,26.0
0.9238107508882181,11.461333333333332,34.3,36.0
0.9332137551000608,11.461333333333332,34.3,46.0
0.9377049890229608,11.461333333333332,34.3,55.99999999999999
0.9296864762079191,11.461333333333332,34.3,66.0
0.45241600117824504,11.461333333333332,45.73333333333333,6.0
0.6410274699627746,11.461333333333332,45.73333333333333,16.0
0.8760481500773224,11.461333333333332,45.73333333333333,26.0
0.9331835155341532,11.461333333333332,45.73333333333333,36.0
0.9394909034345423,11.461333333333332,45.73333333333333,46.0
0.9363930719294203,11.461333333333332,45.73333333333333,55.99999999999999
0.931614764697643,11.461333333333332,45.73333333333333,66.0
0.531608498417225,11.461333333333332,57.16666666666666,6.0
0.7053905516755428,11.461333333333332,57.16666666666666,16.0
0.9193394115072518,11.461333333333332,57.16666666666666,26.0
0.9344585778913156,11.461333333333332,57.16666666666666,36.0
0.9406706374640424,11.461333333333332,57.16666666666666,46.0
0.9352167500628124,11.461333333333332,57.16666666666666,55.99999999999999
0.9342213202841402,11.461333333333332,57.16666666666666,66.0
0.6668879351994808,11.461333333333332,68.6,6.0
0.7920131505436124,11.461333333333332,68.6,16.0
0.8769584981873721,11.461333333333332,68.6,26.0
0.9362563372173907,11.461333333333332,68.6,36.0
0.9409948949803745,11.461333333333332,68.6,46.0
0.9366337859506414,11.461333333333332,68.6,55.99999999999999
