Wavelength,bkg,ref1_c1,ref1_c2,ref1_c3,ref1_c4,ref1_c5,ref2_c1,ref2_c2,ref2_c3,ref2_c4,ref2_c5,ref3_c1,ref3_c2,ref3_c3,ref3_c4,ref3_c5
220,0.019055555555555565,0.03294444444444444,0.08494444444444443,0.12944444444444442,0.17494444444444443,0.22194444444444442,0.05194444444444444,0.11744444444444445,0.18344444444444444,0.29194444444444445,0.32944444444444443,0.0009444444444444318,0.018944444444444434,0.04494444444444444,0.06344444444444443,0.08544444444444445
221,0.01825925925925927,0.03824074074074073,0.08874074074074073,0.13624074074074072,0.17974074074074073,0.22824074074074072,0.04724074074074073,0.10424074074074073,0.16324074074074071,0.25724074074074077,0.29324074074074075,0.007240740740740732,0.02874074074074073,0.06374074074074072,0.08374074074074074,0.10874074074074074
222,0.0185925925925926,0.03890740740740739,0.0929074074074074,0.1434074074074074,0.18940740740740739,0.2404074074074074,0.0389074074074074,0.0889074074074074,0.1424074074074074,0.2224074074074074,0.2569074074074074,0.010907407407407397,0.0364074074074074,0.0739074074074074,0.10290740740740739,0.13040740740740742
223,0.017481481481481494,0.0405185185185185,0.0985185185185185,0.1530185185185185,0.20301851851851851,0.25651851851851853,0.0320185185185185,0.07701851851851851,0.12451851851851853,0.1975185185185185,0.2250185185185185,0.015018518518518507,0.043018518518518505,0.08451851851851852,0.11901851851851852,0.1495185185185185
224,0.017111111111111122,0.04288888888888888,0.10788888888888888,0.16638888888888886,0.21938888888888886,0.27788888888888885,0.023388888888888883,0.060388888888888874,0.10238888888888888,0.16588888888888886,0.18338888888888888,0.01688888888888888,0.050888888888888886,0.09788888888888887,0.13438888888888886,0.17188888888888887
225,0.016277777777777787,0.049222222222222216,0.12122222222222223,0.18372222222222223,0.24222222222222223,0.3047222222222222,0.016722222222222215,0.04722222222222221,0.08172222222222222,0.13772222222222222,0.15122222222222223,0.023722222222222207,0.06172222222222221,0.11522222222222223,0.1552222222222222,0.19872222222222222
226,0.015166666666666676,0.058333333333333334,0.1353333333333333,0.2043333333333333,0.2673333333333333,0.3373333333333333,0.011333333333333324,0.03533333333333332,0.06133333333333333,0.10933333333333332,0.12033333333333333,0.032333333333333325,0.07383333333333332,0.1353333333333333,0.18083333333333335,0.22983333333333333
227,0.015351851851851861,0.06514814814814814,0.14814814814814814,0.22464814814814812,0.29414814814814816,0.37064814814814817,0.0031481481481481386,0.02014814814814814,0.04014814814814814,0.07914814814814813,0.08714814814814814,0.03964814814814814,0.08664814814814814,0.15364814814814812,0.20814814814814814,0.26414814814814813
228,0.01450000000000001,0.07399999999999998,0.16249999999999998,0.246,0.3245,0.409,-0.0030000000000000096,0.0069999999999999915,0.022999999999999993,0.052499999999999984,0.054999999999999986,0.04899999999999999,0.10149999999999998,0.1755,0.2385,0.301
229,0.01411111111111112,0.07988888888888888,0.17638888888888887,0.2668888888888889,0.35238888888888886,0.4458888888888889,-0.00761111111111112,-0.0036111111111111196,0.008888888888888884,0.031888888888888876,0.030388888888888882,0.05588888888888889,0.11388888888888889,0.19638888888888886,0.2658888888888889,0.33638888888888885
230,0.014148148148148156,0.08835185185185185,0.19335185185185183,0.28985185185185186,0.3833518518518519,0.48585185185185187,-0.009648148148148156,-0.009648148148148156,0.00035185185185184365,0.017351851851851844,0.014351851851851845,0.06385185185185184,0.12935185185185183,0.21935185185185183,0.29585185185185187,0.3743518518518519
231,0.013648148148148156,0.09735185185185184,0.21035185185185185,0.3138518518518519,0.41435185185185186,0.5253518518518518,-0.010648148148148157,-0.011148148148148154,-0.005148148148148156,0.009851851851851844,0.004851851851851844,0.07235185185185183,0.14635185185185184,0.24335185185185185,0.32635185185185184,0.41435185185185186
232,0.01374074074074075,0.10675925925925925,0.22825925925925925,0.3392592592592592,0.44625925925925924,0.5637592592592592,-0.01224074074074075,-0.014240740740740748,-0.00924074074074075,0.0037592592592592495,-0.0022407407407407497,0.08175925925925925,0.16325925925925924,0.2692592592592592,0.3597592592592592,0.4562592592592592
233,0.014148148148148156,0.11585185185185184,0.24535185185185185,0.36435185185185187,0.47885185185185186,0.6038518518518519,-0.013648148148148156,-0.016648148148148155,-0.012148148148148154,0.0018518518518518432,-0.004648148148148156,0.09085185185185184,0.18085185185185185,0.29635185185185187,0.3948518518518519,0.5013518518518519
234,0.01298148148148149,0.12501851851851853,0.26201851851851854,0.38901851851851854,0.5095185185185185,0.6425185185185185,-0.013981481481481487,-0.01748148148148149,-0.01348148148148149,0.0005185185185185093,-0.0014814814814814899,0.0995185185185185,0.1980185185185185,0.32301851851851854,0.4305185185185185,0.5440185185185185
235,0.012574074074074081,0.13592592592592592,0.2794259259259259,0.4134259259259259,0.540925925925926,0.6824259259259259,-0.013074074074074082,-0.01707407407407408,-0.013074074074074082,-7.407407407408143e-05,-0.0030740740740740815,0.10842592592592591,0.21542592592592594,0.3524259259259259,0.4689259259259259,0.587925925925926
236,0.01194444444444445,0.14405555555555555,0.29505555555555557,0.4370555555555556,0.5725555555555556,0.7185555555555555,-0.012444444444444449,-0.015444444444444452,-0.012444444444444449,-0.0009444444444444509,-0.0034444444444444505,0.12055555555555555,0.23255555555555554,0.3775555555555556,0.5035555555555556,0.6285555555555556
