yield,Alcohol(mM),HBr(mM),Temperature(°C)
0.14787541016335837,4.874999973512501,0.1,16.0
0.17615372086195702,4.874999973512501,0.1,21.0
0.248561792399967,4.874999973512501,0.1,26.0
0.3504797318709052,4.874999973512501,0.1,31.0
0.42510705356334366,4.874999973512501,0.1,36.0
0.5429107117697978,4.874999973512501,2.575,16.0
0.6054378810239123,4.874999973512501,2.575,21.0
0.6975081428041863,4.874999973512501,2.575,26.0
0.8024487118130166,4.874999973512501,2.575,31.0
0.8621480758179718,4.874999973512501,2.575,36.0
0.6960443424492953,4.874999973512501,5.05,16.0
0.755603934397648,4.874999973512501,5.05,21.0
0.8375770103651288,4.874999973512501,5.05,26.0
0.9313281882880888,4.874999973512501,5.05,31.0
0.9918556974268373,4.874999973512501,5.05,36.0
0.6813054258419884,4.874999973512501,7.525,16.0
0.7279381219131702,4.874999973512501,7.525,21.0
0.7978891508225843,4.874999973512501,7.525,26.0
0.8834102034022027,4.874999973512501,7.525,31.0
0.9533360265352253,4.874999973512501,7.525,36.0
0.6388388537715706,4.874999973512501,10.0,16.0
0.6877391518946645,4.874999973512501,10.0,21.0
0.7602828885683408,4.874999973512501,10.0,26.0
0.8452045279576268,4.874999973512501,10.0,31.0
0.9186036403213627,4.874999973512501,10.0,36.0
0.0845147619107598,7.406249960134375,0.1,16.0
0.09457248465025492,7.406249960134375,0.1,21.0
0.158015645571834,7.406249960134375,0.1,26.0
0.2634873655068466,7.406249960134375,0.1,31.0
0.3510602296364258,7.406249960134375,0.1,36.0
0.4994175403936536,7.406249960134375,2.575,16.0
0.5562919143762235,7.406249960134375,2.575,21.0
0.6521957537147531,7.406249960134375,2.575,26.0
0.7688875458741844,7.406249960134375,2.575,31.0
0.841133540499793,7.406249960134375,2.575,36.0
0.6782110609982457,7.406249960134375,5.05,16.0
0.7401594650597891,7.406249960134375,5.05,21.0
0.8289654569238447,7.406249960134375,5.05,26.0
0.9317468478976183,7.406249960134375,5.05,31.0
0.9987798672219967,7.406249960134375,5.05,36.0
0.6826393355640694,7.406249960134375,7.525,16.0
0.7330403687743177,7.406249960134375,7.525,21.0
0.8049862165750974,7.406249960134375,7.525,26.0
0.8909199784641637,7.406249960134375,7.525,31.0
0.9604767080108676,7.406249960134375,7.525,36.0
0.6482307494133495,7.406249960134375,10.0,16.0
0.6991128900006292,7.406249960134375,10.0,21.0
0.768999024504446,7.406249960134375,10.0,26.0
0.84858621230851,7.406249960134375,10.0,31.0
0.9177908013569449,7.406249960134375,10.0,36.0
0.018806143190551516,9.937499946756251,0.1,16.0
