uuid,local_index,global_index,vol#Acetonitrile,vol#E1OH02,vol#HBr,vol#HBr_dil_x_10,vol#HBr_dil_x_100,temperature,slot_id,plate_barcode,container_id,status,plate_barcodes_for_dilution,timestamp,full_status,timestamp_dilution,is_outlier,c#E1OH02,c#HBr,nanodrop_filepath,timestamp_nanodrop,pc#E1DB02,pc#E1OH02,yield,conversion,run_name
hXk7tm3Q7vrLjCkVr9bU5j,10,134,71.20689655,380.0,48.79310345,0.0,0,26,0,61,10,completed,59,1694668893,"{""Acetonitrile"": [""completed"", 1694667763], ""E1OH02"": [""completed"", 1694667846], ""HBr"": [""completed"", 1694668893]}",1694686686,0,0.015,0.004879,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.007169378271316276,0.004949067564689729,0.5916087234565022,0.6700621605943495,simple-reactions/2023-09-14-run01/
BXoSJnNQP32e6ZiWpRrm3J,11,51,303.81034480000005,123.5,72.68965517,0.0,0,26,0,61,11,completed,59,1694668744,"{""Acetonitrile"": [""completed"", 1694667299], ""E1OH02"": [""completed"", 1694668335], ""HBr"": [""completed"", 1694668744]}",1694686700,0,0.004875,0.007269,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0035519916929023093,0.0010724799943639667,0.7680859421591667,0.7800041025601003,simple-reactions/2023-09-14-run01/
VZMeHB2sRWCSpnLxP4ovvG,12,73,245.6206897,209.0,45.37931034,0.0,0,26,0,61,12,completed,59,1694668917,"{""Acetonitrile"": [""completed"", 1694667438], ""E1OH02"": [""completed"", 1694668184], ""HBr"": [""completed"", 1694668917]}",1694686714,0,0.00825,0.004538,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005388332741310085,0.0013890493139457898,0.7950463316630382,0.8316303852769483,simple-reactions/2023-09-14-run01/
mMAVVTe8MiN8bi5XKdiWhq,13,54,293.5689655,123.5,82.93103448,0.0,0,26,0,61,13,completed,59,1694668660,"{""Acetonitrile"": [""completed"", 1694667322], ""E1OH02"": [""completed"", 1694668348], ""HBr"": [""completed"", 1694668660]}",1694686729,0,0.004875,0.008293,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.003760988284233108,0.001090243095652158,0.7752646678176082,0.7763603894516556,simple-reactions/2023-09-14-run01/
NnWrwnSX8dnL3Zj9nd37Ue,14,63,279.7586207,209.0,11.24137931,0.0,0,26,0,61,14,completed,59,1694669103,"{""Acetonitrile"": [""completed"", 1694667351], ""E1OH02"": [""completed"", 1694668196], ""HBr"": [""completed"", 1694669103]}",1694686743,0,0.00825,0.001124,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0024226039995263802,0.005037425470653815,0.3247445615610768,0.3894029699853535,simple-reactions/2023-09-14-run01/
V9s2Dh8KiBTxkrwNL3gXWm,15,37,351.6034483,123.5,24.89655172,0.0,0,26,0,61,15,completed,59,1694669033,"{""Acetonitrile"": [""completed"", 1694667224], ""E1OH02"": [""completed"", 1694668360], ""HBr"": [""completed"", 1694669033]}",1694686758,0,0.004875,0.00249,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0038269148064173867,0.001018994377054968,0.7897207028702913,0.7909755112758227,simple-reactions/2023-09-14-run01/
jDUCyYLnyTDEgTeQmb4vUo,16,78,228.5517241,209.0,62.44827586,0.0,0,26,0,61,16,completed,59,1694668779,"{""Acetonitrile"": [""completed"", 1694667465], ""E1OH02"": [""completed"", 1694668209], ""HBr"": [""completed"", 1694668779]}",1694686772,0,0.00825,0.006245,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005871059771100654,0.0014532647513858085,0.8015837846993085,0.8238466958763281,simple-reactions/2023-09-14-run01/
3uJq5pBoUNTEktQbHziL77,17,90,105.5,294.5,0.0,0.0,100,26,0,61,17,completed,59,1694669213,"{""Acetonitrile"": [""completed"", 1694667686], ""E1OH02"": [""completed"", 1694668024], ""HBr_dil_x_100"": [""completed"", 1694669213]}",1694686786,0,0.011625,0.0001,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.00029303989137338053,0.00977335755599426,0.029110701510202182,0.15928106596827238,simple-reactions/2023-09-14-run01/
HMCBzAd6nToRa4istvGj99,18,45,324.2931034,123.5,52.20689655,0.0,0,26,0,61,18,completed,59,1694668861,"{""Acetonitrile"": [""completed"", 1694667284], ""E1OH02"": [""completed"", 1694668372], ""HBr"": [""completed"", 1694668861]}",1694686801,0,0.004875,0.005221,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0035706755899646545,0.0010153645629218714,0.7785966696600368,0.7917200885670539,simple-reactions/2023-09-14-run01/
Y5vNDeVFURk9Pte7XDCSqB,19,16,406.3793103,38.0,55.62068966,0.0,0,26,0,61,19,completed,59,1694668849,"{""Acetonitrile"": [""completed"", 1694667100], ""E1OH02"": [""completed"", 1694668452], ""HBr"": [""completed"", 1694668849]}",1694686815,0,0.0015,0.005562,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0011700804867163135,0.0002798222180124919,0.807006210071985,0.8134518536783392,simple-reactions/2023-09-14-run01/
WM9zergmZ268RNSoRnHDPR,20,121,75.86206897,380.0,0.0,44.13793103,0,26,0,61,20,completed,59,1694669180,"{""Acetonitrile"": [""completed"", 1694667750], ""E1OH02"": [""completed"", 1694667860], ""HBr_dil_x_10"": [""completed"", 1694669180]}",1694686830,0,0.015,0.000441,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0010508670776208393,0.012948027283107023,0.07506786254269585,0.1367981765224553,simple-reactions/2023-09-14-run01/
D6sWmviCm8Q7N4GQkAuKA9,21,66,269.5172414,209.0,21.48275862,0.0,0,26,0,61,21,completed,59,1694669068,"{""Acetonitrile"": [""completed"", 1694667380], ""E1OH02"": [""completed"", 1694668222], ""HBr"": [""completed"", 1694669068]}",1694686844,0,0.00825,0.002148,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.004573322642618613,0.0034718380245872685,0.5684563468397391,0.5791711462736228,simple-reactions/2023-09-14-run01/
Fif2fjXxvgUF5ykB6MusZT,22,24,379.0689655,38.0,82.93103448,0.0,0,26,0,61,22,completed,59,1694668672,"{""Acetonitrile"": [""completed"", 1694667162], ""E1OH02"": [""completed"", 1694668464], ""HBr"": [""completed"", 1694668672]}",1694686859,0,0.0015,0.008293,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0011114377137569275,0.00022593442476290547,0.8310609154659349,0.8493770493607655,simple-reactions/2023-09-14-run01/
RpBb879rDApVGJghvo9Rx4,23,8,433.6896552,38.0,28.31034483,0.0,0,26,0,61,23,completed,59,1694669010,"{""Acetonitrile"": [""completed"", 1694667068], ""E1OH02"": [""completed"", 1694668475], ""HBr"": [""completed"", 1694669010]}",1694686873,0,0.0015,0.002831,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0013463584355761676,0.00022699469548032416,0.8557255259485839,0.8486702021969451,simple-reactions/2023-09-14-run01/
7y5AwEKSXVhZVfMUM2T9bu,24,126,98.51724138,380.0,21.48275862,0.0,0,26,0,61,24,completed,59,1694669080,"{""Acetonitrile"": [""completed"", 1694667712], ""E1OH02"": [""completed"", 1694667875], ""HBr"": [""completed"", 1694669080]}",1694686888,0,0.015,0.002148,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.00445979263332495,0.008425912651700871,0.3461038829211446,0.4382724868907285,simple-reactions/2023-09-14-run01/
QH4nYcDsFKsPhV5eskRSkx,25,22,385.8965517,38.0,76.10344828,0.0,0,26,0,61,25,completed,59,1694668720,"{""Acetonitrile"": [""completed"", 1694667131], ""E1OH02"": [""completed"", 1694668487], ""HBr"": [""completed"", 1694668720]}",1694686902,0,0.0015,0.00761,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0012206531200514821,0.000205903997452947,0.8556636850172894,0.8627306676380897,simple-reactions/2023-09-14-run01/
YoLH24rQYNHz8UhtrFZBnj,26,44,327.7068966,123.5,48.79310345,0.0,0,26,0,61,26,completed,59,1694668905,"{""Acetonitrile"": [""completed"", 1694667269], ""E1OH02"": [""completed"", 1694668384], ""HBr"": [""completed"", 1694668905]}",1694686917,0,0.004875,0.004879,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.003784407425319732,0.000993821823014523,0.7920104349616586,0.796139112120146,simple-reactions/2023-09-14-run01/
