Baseline 100%T,,0.0,,0.1,,0.2,,0.3,,0.5,,0.8,,1.0,,1.2,,1.5,,1.8,,2.0,,2.5,,3.0,,3.5,,4.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
782,0.007420263253,782,-0.0001345344208,782,0.09768099338,782,0.187870115,782,0.2758303881,782,0.4058611393,782,0.6801606417,782,0.8056471348,782,0.992562294,782,1.210520983,782,1.485514164,782,1.243761778,782,1.647660375,782,1.947741032,782,2.35219264,782,2.562834263,
781,0.007311736234,781,4.460381388E-5,781,0.09762825817,781,0.1874365807,781,0.2749667466,781,0.4055458307,781,0.6788458228,781,0.804698348,781,0.9910047054,781,1.209089756,781,1.482976913,781,1.244347811,781,1.648498893,781,1.94895041,781,2.353715658,781,2.566184521,
780,0.007326926105,780,-5.767010953E-5,780,0.09735433757,780,0.1868263185,780,0.2740269601,780,0.404935658,780,0.6774369478,780,0.8035109043,780,0.989385426,780,1.207161188,780,1.480646133,780,1.245385647,780,1.648637652,780,1.950248122,780,2.354381323,780,2.567651987,
779,0.007304365281,779,-7.718509733E-5,779,0.09705615789,779,0.1862902194,779,0.2732728422,779,0.4045732617,779,0.6762242317,779,0.8026197553,779,0.9877584577,779,1.205946326,779,1.47810328,779,1.246088028,779,1.649572611,779,1.951943755,779,2.354595661,779,2.570025206,
778,0.007132444065,778,-8.438743862E-6,778,0.09692896903,778,0.1858262122,778,0.2724903226,778,0.404009074,778,0.6748284698,778,0.8015426993,778,0.9862418175,778,1.204609156,778,1.476180553,778,1.247273445,778,1.649857283,778,1.953605294,778,2.355638504,778,2.571563244,
777,0.007027908694,777,-6.957590813E-5,777,0.09674860537,777,0.1852412075,777,0.2716759443,777,0.4035722017,777,0.673558414,777,0.8005805016,777,0.9848871827,777,1.203026175,777,1.473489761,777,1.248365998,777,1.65078795,777,1.955384612,777,2.357047319,777,2.573450089,
776,0.006968324538,776,3.442847401E-6,776,0.09651955962,776,0.1846223474,776,0.2708021104,776,0.4031227231,776,0.6722069979,776,0.7995114326,776,0.9833109975,776,1.201562524,776,1.471291423,776,1.249194264,776,1.650783777,776,1.956153274,776,2.358890057,776,2.574986696,
775,0.006899253931,775,6.306279829E-5,775,0.09635093808,775,0.1842511892,775,0.2700024247,775,0.4027361274,775,0.6709575653,775,0.7987222672,775,0.9818258286,775,1.200146198,775,1.469055295,775,1.250451446,775,1.651651859,775,1.958144903,775,2.360494852,775,2.578235626,
774,0.00683884602,774,7.274018117E-6,774,0.09609171003,774,0.1836484373,774,0.2692194283,774,0.4022616148,774,0.6696763039,774,0.7975273132,774,0.9803096056,774,1.198593259,774,1.46651876,774,1.251317739,774,1.651935101,774,1.95994401,774,2.360135317,774,2.580052376,
773,0.006821990013,773,-6.222540833E-5,773,0.09583958238,773,0.1830825806,773,0.2682017684,773,0.401722163,773,0.6685085893,773,0.796659112,773,0.9788227677,773,1.197023511,773,1.464366674,773,1.252374172,773,1.652947426,773,1.961314201,773,2.361180067,773,2.581703663,
772,0.006748446729,772,-9.866610344E-5,772,0.09554959834,772,0.182603851,772,0.2675473094,772,0.4012469053,772,0.6669211388,772,0.7956899405,772,0.9771042466,772,1.195650578,772,1.46210289,772,1.253538847,772,1.653214335,772,1.962976575,772,2.363889217,772,2.585180759,
771,0.006636986043,771,-7.164644921E-5,771,0.09534807503,771,0.1820575297,771,0.2666575909,771,0.4008155167,771,0.665718317,771,0.7947224379,771,0.9758351445,771,1.194170356,771,1.460082769,771,1.254700899,771,1.654251933,771,1.964892387,771,2.364748001,771,2.586627483,
770,0.00658607576,770,-1.107905337E-5,770,0.09519225359,770,0.1815209836,770,0.2657711804,770,0.4003735781,770,0.6643533111,770,0.7940197587,770,0.9743496776,770,1.192759991,770,1.457718372,770,1.255795121,770,1.654785514,770,1.966949344,770,2.365104437,770,2.58871007,
769,0.006544079632,769,-5.285593215E-5,769,0.09497439861,769,0.1810332239,769,0.2650053799,769,0.3999828696,769,0.6633274555,769,0.7929478884,769,0.9729812741,769,1.191642046,769,1.455470204,769,1.256873488,769,1.655332923,769,1.968500495,769,2.367072105,769,2.59212923,
768,0.006400777958,768,-1.030249314E-5,768,0.09477742761,768,0.1805630177,768,0.2642789483,768,0.3995133936,768,0.662083447,768,0.7920954227,768,0.9714844823,768,1.190096855,768,1.453520536,768,1.257918239,768,1.656080365,768,1.969996095,768,2.368641615,768,2.594343662,
767,0.006420586258,767,-8.453534247E-5,767,0.09447749704,767,0.1798971593,767,0.263333261,767,0.398935616,767,0.6606497169,767,0.7909485102,767,0.9698659778,767,1.188889861,767,1.451325893,767,1.25941503,767,1.656900883,767,1.972232223,767,2.369878292,767,2.596168518,
766,0.006275906693,766,5.604673788E-5,766,0.09436094016,766,0.1794874668,766,0.2625739574,766,0.3986876309,766,0.6595649719,766,0.7902558446,766,0.9687597752,766,1.187889814,766,1.449369907,766,1.26040709,766,1.657723904,766,1.974394441,766,2.37105608,766,2.599502325,
765,0.006180714816,765,-6.72465394E-5,765,0.09413797408,765,0.1789481789,765,0.2618592978,765,0.3982629776,765,0.658382833,765,0.7895645499,765,0.9672495723,765,1.186312437,765,1.447202563,765,1.26191771,765,1.65847683,765,1.976172686,765,2.373202324,765,2.601950407,
764,0.006149969064,764,3.253987961E-5,764,0.0939783752,764,0.1784555614,764,0.2610408962,764,0.3978669345,764,0.6570782661,764,0.7884815931,764,0.9659987688,764,1.185283184,764,1.44539392,764,1.26320219,764,1.659825921,764,1.978129745,764,2.37434721,764,2.603885412,
763,0.006107883994,763,-2.572989069E-5,763,0.09368172288,763,0.1779178679,763,0.2602459192,763,0.3974649608,763,0.6560351253,763,0.7877081633,763,0.9646824598,763,1.183845997,763,1.442906022,763,1.264424562,763,1.66041863,763,1.980861425,763,2.376176119,763,2.606651783,
762,0.006040367298,762,-0.0001055501489,762,0.09346812963,762,0.1774091572,762,0.2593777776,762,0.3969173729,762,0.6547074914,762,0.7868795395,762,0.9631913304,762,1.182754636,762,1.441144347,762,1.26594305,762,1.660941601,762,1.982678294,762,2.378200293,762,2.609312534,
761,0.005956957582,761,-4.861112757E-5,761,0.09322191775,761,0.1769367605,761,0.2586096227,761,0.3965933323,761,0.6535469294,761,0.7860937715,761,0.9619392753,761,1.181468964,761,1.439311266,761,1.26691699,761,1.662028909,761,1.984882474,761,2.379679203,761,2.612058878,
760,0.005872173235,760,-5.860187957E-5,760,0.09300293028,760,0.1763896346,760,0.2578039169,760,0.3962173462,760,0.6523271799,760,0.7853502035,760,0.9606576562,760,1.180234432,760,1.437056184,760,1.268393397,760,1.663290143,760,1.986743689,760,2.38167119,760,2.615312576,
