yield,[amine](mM),[aldehyde](mM),[isocyanide](mM),ptsa,spectrum_dir
0.00716954300521905,120.0,120.0,120.0,0.21573667711598746,C:\
0.00940353303277415,120.0,150.0,120.0,0.21573667711598746,C:\
0.016676660655062937,120.0,180.0,120.0,0.21573667711598746,C:\
0.016987170841716283,120.0,210.0,120.0,0.21573667711598746,C:\
0.01801520699231138,120.0,240.0,120.0,0.21573667711598746,C:\
0.010103510719233148,120.0,270.0,120.0,0.21573667711598746,C:\
0.009779806151749287,120.0,300.0,120.0,0.21573667711598746,C:\
0.017691549865708388,150.0,120.0,120.0,0.21573667711598746,C:\
0.015823021325729696,180.0,120.0,120.0,0.21573667711598746,C:\
0.033949131074657614,180.0,180.0,120.0,0.21573667711598746,C:\
0.03128248028853152,180.0,240.0,120.0,0.21573667711598746,C:\
0.03909985830599864,180.0,300.0,120.0,0.21573667711598746,C:\
0.0237591667736684,210.0,120.0,120.0,0.21573667711598746,C:\
0.021072069554104542,240.0,120.0,120.0,0.21573667711598746,C:\
0.044212099989761486,240.0,180.0,120.0,0.21573667711598746,C:\
0.031708846659903735,240.0,240.0,120.0,0.21573667711598746,C:\
0.06759985415516166,240.0,300.0,120.0,0.21573667711598746,C:\
0.013591981833719406,270.0,120.0,120.0,0.21573667711598746,C:\
0.008766220916673775,300.0,120.0,120.0,0.21573667711598746,C:\
0.010745790486020264,300.0,180.0,120.0,0.21573667711598746,C:\
0.022533354501392645,300.0,240.0,120.0,0.21573667711598746,C:\
0.03494395415479694,300.0,300.0,120.0,0.21573667711598746,C:\
0.014915840370089454,120.0,120.0,150.0,0.21573667711598746,C:\
0.016525526483416042,120.0,150.0,150.0,0.21573667711598746,C:\
0.013535070896388907,120.0,180.0,150.0,0.21573667711598746,C:\
0.011960564702208682,120.0,210.0,150.0,0.21573667711598746,C:\
0.008699269142916376,120.0,240.0,150.0,0.21573667711598746,C:\
0.01775953789521113,120.0,270.0,150.0,0.21573667711598746,C:\
0.023183885457849586,120.0,300.0,150.0,0.21573667711598746,C:\
0.021463379804076633,150.0,120.0,150.0,0.21573667711598746,C:\
0.02231228384589416,180.0,120.0,150.0,0.21573667711598746,C:\
0.03208538624119519,210.0,120.0,150.0,0.21573667711598746,C:\
0.030442107207695582,240.0,120.0,150.0,0.21573667711598746,C:\
0.01828758814433476,270.0,120.0,150.0,0.21573667711598746,C:\
0.01066454774806676,300.0,120.0,150.0,0.21573667711598746,C:\
0.023262807751998574,120.0,120.0,180.0,0.21573667711598746,C:\
0.025694295850728664,120.0,150.0,180.0,0.21573667711598746,C:\
0.026569463009501047,120.0,180.0,180.0,0.21573667711598746,C:\
0.032925931428224885,120.0,210.0,180.0,0.21573667711598746,C:\
0.02643268896307173,120.0,240.0,180.0,0.21573667711598746,C:\
0.03023025974780472,120.0,270.0,180.0,0.21573667711598746,C:\
0.021570923548616942,120.0,300.0,180.0,0.21573667711598746,C:\
0.03047122259285495,150.0,120.0,180.0,0.21573667711598746,C:\
