,0,1,2,3,4,7,5,6,9,8,11,10,13,12,15,14
220,0.068,0.102,0.194,0.281,0.015,0.353,0.108,0.187,0.673,0.555,0.049,0.033,0.114,0.078,0.02,0.139
221,0.068,0.105,0.2,0.286,0.015,0.338,0.104,0.179,0.631,0.522,0.054,0.035,0.13,0.089,0.017,0.16
222,0.066,0.105,0.203,0.291,0.012,0.324,0.101,0.173,0.593,0.494,0.06,0.037,0.149,0.102,0.018,0.182
223,0.068,0.108,0.207,0.297,0.011,0.316,0.098,0.168,0.581,0.481,0.064,0.039,0.165,0.112,0.016,0.201
224,0.068,0.109,0.209,0.304,0.01,0.3,0.093,0.159,0.555,0.459,0.069,0.041,0.183,0.123,0.016,0.223
225,0.068,0.111,0.215,0.314,0.009,0.275,0.085,0.145,0.515,0.427,0.074,0.042,0.201,0.134,0.015,0.248
226,0.068,0.114,0.221,0.324,0.008,0.246,0.077,0.13,0.466,0.383,0.08,0.044,0.221,0.148,0.014,0.275
227,0.069,0.116,0.228,0.336,0.007,0.213,0.068,0.112,0.404,0.332,0.088,0.048,0.246,0.164,0.014,0.307
228,0.071,0.12,0.236,0.35,0.007,0.177,0.057,0.092,0.337,0.276,0.094,0.05,0.27,0.179,0.011,0.338
229,0.073,0.123,0.243,0.36,0.007,0.142,0.046,0.073,0.27,0.221,0.1,0.053,0.294,0.194,0.01,0.367
230,0.075,0.127,0.25,0.37,0.007,0.111,0.037,0.057,0.207,0.171,0.107,0.056,0.318,0.209,0.009,0.398
231,0.078,0.13,0.256,0.378,0.008,0.085,0.03,0.044,0.153,0.128,0.116,0.061,0.343,0.226,0.01,0.428
232,0.08,0.132,0.262,0.387,0.007,0.064,0.025,0.034,0.111,0.094,0.125,0.065,0.368,0.242,0.011,0.46
233,0.08,0.134,0.266,0.396,0.005,0.047,0.02,0.026,0.08,0.068,0.133,0.068,0.393,0.259,0.01,0.491
234,0.082,0.136,0.271,0.404,0.005,0.037,0.016,0.02,0.061,0.052,0.139,0.071,0.416,0.275,0.009,0.52
235,0.083,0.139,0.276,0.412,0.005,0.03,0.014,0.016,0.05,0.043,0.146,0.075,0.438,0.289,0.007,0.549
236,0.085,0.141,0.282,0.419,0.006,0.03,0.014,0.016,0.047,0.041,0.153,0.078,0.46,0.302,0.007,0.575
237,0.085,0.142,0.286,0.423,0.005,0.032,0.015,0.017,0.05,0.043,0.158,0.081,0.478,0.314,0.008,0.599
238,0.085,0.143,0.288,0.426,0.003,0.035,0.015,0.017,0.055,0.046,0.163,0.083,0.494,0.325,0.008,0.618
239,0.085,0.144,0.289,0.429,0.003,0.037,0.014,0.017,0.059,0.05,0.166,0.084,0.506,0.333,0.008,0.634
240,0.084,0.146,0.291,0.433,0.003,0.039,0.015,0.02,0.065,0.055,0.17,0.086,0.517,0.341,0.007,0.65
241,0.084,0.147,0.293,0.437,0.004,0.042,0.016,0.022,0.072,0.06,0.172,0.086,0.527,0.346,0.006,0.661
242,0.083,0.146,0.294,0.439,0.004,0.045,0.017,0.024,0.081,0.066,0.173,0.086,0.532,0.349,0.006,0.667
243,0.085,0.146,0.295,0.439,0.004,0.051,0.019,0.027,0.092,0.076,0.173,0.085,0.529,0.347,0.006,0.664
244,0.085,0.145,0.293,0.435,0.004,0.057,0.02,0.03,0.105,0.087,0.17,0.084,0.52,0.34,0.007,0.653
245,0.085,0.145,0.291,0.432,0.004,0.065,0.023,0.035,0.121,0.099,0.167,0.083,0.509,0.332,0.007,0.639
246,0.084,0.144,0.289,0.428,0.004,0.072,0.023,0.038,0.136,0.111,0.162,0.08,0.496,0.323,0.006,0.623
247,0.082,0.142,0.286,0.425,0.003,0.079,0.024,0.041,0.151,0.123,0.155,0.076,0.48,0.312,0.005,0.604
248,0.08,0.14,0.282,0.419,0.003,0.088,0.027,0.045,0.167,0.137,0.147,0.071,0.457,0.297,0.005,0.575
249,0.079,0.137,0.278,0.412,0.003,0.099,0.031,0.051,0.189,0.154,0.139,0.069,0.428,0.279,0.006,0.539
250,0.079,0.134,0.272,0.404,0.003,0.112,0.035,0.059,0.211,0.173,0.129,0.065,0.394,0.256,0.008,0.496
251,0.078,0.133,0.268,0.397,0.003,0.124,0.037,0.065,0.237,0.193,0.119,0.059,0.358,0.233,0.007,0.45
252,0.076,0.131,0.262,0.389,0.003,0.137,0.041,0.072,0.263,0.214,0.108,0.054,0.323,0.21,0.008,0.406
253,0.074,0.127,0.256,0.38,0.003,0.151,0.045,0.079,0.289,0.236,0.097,0.049,0.289,0.188,0.008,0.362
254,0.072,0.124,0.25,0.37,0.003,0.166,0.048,0.086,0.317,0.258,0.085,0.042,0.255,0.166,0.007,0.317
255,0.07,0.12,0.244,0.362,0.003,0.181,0.053,0.095,0.347,0.283,0.073,0.038,0.221,0.143,0.008,0.274
256,0.068,0.118,0.24,0.354,0.003,0.197,0.057,0.104,0.38,0.309,0.062,0.032,0.188,0.121,0.008,0.232
257,0.066,0.116,0.234,0.345,0.002,0.214,0.062,0.113,0.414,0.336,0.054,0.029,0.16,0.102,0.008,0.195
258,0.065,0.113,0.229,0.337,0.002,0.231,0.067,0.121,0.449,0.365,0.046,0.024,0.132,0.085,0.007,0.161
259,0.064,0.111,0.225,0.331,0.003,0.247,0.07,0.128,0.485,0.393,0.037,0.018,0.108,0.069,0.004,0.131
260,0.062,0.108,0.219,0.325,0.002,0.264,0.073,0.136,0.52,0.422,0.031,0.016,0.089,0.057,0.004,0.108
