wavelength(nm),optical_density(absorbance_units)
361.38367539804136,0.09867345321250523
363.52278847763205,0.09677923578441774
364.3198321163764,0.09775406358891256
365.9898092315778,0.09282617260377125
367.4761655286035,0.0890080781149058
369.86660192326644,0.08480393425653045
371.7775112423573,0.08129435982787131
373.8482940844017,0.07755642804259588
376.24008613174465,0.07348999590229865
378.79062978258173,0.0690812380869757
381.181159670533,0.06488659158846782
383.7408189169771,0.06140382636022207
386.945938826905,0.05761373594432545
390.4774863031567,0.054045560347543875
394.01239953778634,0.05081928970599078
397.38958619533696,0.048039470339464846
400.25922747331697,0.04437486174428931
403.99238309184983,0.04355103648144862
407.5384645247336,0.04145926864588104
411.0856168807377,0.03947628875061343
414.633840159862,0.0376020967956458
418.18711207655326,0.03624076227352094
421.74038399324456,0.034879427751396075
425.29656270126225,0.03381337478151397
428.85381233240025,0.0328561097519319
432.41305082076155,0.032100879468621224
435.97473713339775,0.03159430733456764
439.54131909458374,0.03158505149902824
443.1176923528692,0.032570428260517204
446.6975843585499,0.033913251111563236
450.27594647405874,0.035100662619323625
453.853849622516,0.03624145072409826
457.43481255131695,0.037693061515444326
461.0217420517879,0.03975077654560452
464.609589486362,0.04190173838173614
468.2011086573483,0.0444256874417534
471.7926278283346,0.04694963650177067
475.22628273212655,0.04990604981591937
478.50279241710473,0.053367970715543805
481.94334712557145,0.05702528918791097
485.22273470395055,0.0607795560921828
488.1758137074637,0.06432399572626185
490.97058520060205,0.06825587349473711
493.59854129413236,0.07171092964966982
496.230283865838,0.07555062887923461
498.85929175886145,0.07911253033267623
501.4911605465062,0.08296505099806206
504.2813415191901,0.0864306083970451
507.07749203833055,0.09050257222356536
509.54621570574136,0.09425111048849116
512.0137974194167,0.09788364528646445
514.9714575940554,0.101893455554049
517.9251209306203,0.10549725368729969
521.1103905155692,0.1079251224572565
524.322375807643,0.1130668618093396
527.9270520341069,0.11692734842161376
531.5245377767633,0.12005740172044518
535.1198816731792,0.12296987913867666
538.7051282944611,0.12485664169122263
542.2781357943686,0.12550011349748308
545.8194745677199,0.12292657049772987
549.3473503075593,0.11898540767706264
552.2680222000233,0.1151206142645913
554.9384359330925,0.11053702692185585
557.0075759645,0.10663221295605226
559.3485143411124,0.10288950967402873
561.1267683707995,0.09894220259132254
561.9190188089965,0.0950188239470847
563.4848176886894,0.0917421579947533
564.745445571324,0.08752737816182109
566.0269269093055,0.08412391082424885
567.6101796503015,0.08026757446403518
569.5275649378269,0.07558597908108752
571.0210712453751,0.07150084772662726
572.5519403647586,0.06761676506273756
574.1299902042617,0.06323190062589987
575.710774722447,0.05912483396518531
577.6976940849071,0.055102191743784806
580.5411989545597,0.049732685211467675
581.771728231255,0.046530344419888764
584.7417215062358,0.041911686492578426
586.5342338017695,0.03777645425959131
588.5505819746625,0.03357620355763036
590.7809578597954,0.029581422336136365
592.8486554233266,0.025530077675234797
595.2366609924943,0.0210790024603055
597.7909911215067,0.017054887719614636
600.2517033045244,0.012670107037181022
601.5505216543219,0.010042475772895826
604.1836882007258,0.007692656818145571
