mol_fraction_of_water,activity_of_water
0,0
0.024987251402345756,0.22709475332811324
0.1366649668536461,0.6523101018010964
0.2498725140234574,0.7705559906029759
0.34319224885262617,0.8010963194988254
0.663437021927588,0.8519968676585749
0.8148903620601737,0.9021143304620205
0.8577256501784798,0.9130775254502741
0.9255481896991331,0.9420516836335161
0.9566547679755228,0.9616288175411121
0.973482916879143,0.9827721221613156
0.9826619071902092,0.9890368050117463
1,1
