Index,Mn,Fe,Co,Ni,Cu,M1-Fe,M1-Co,Yield_of_styrene_oxide (%),Yield_of_benzaldehyde (%),Selectivity_of_styrene_oxide (%)
71,0.2,0.2,0,0,0.6,0,1,54.1048602,0.673963505,98.76966
72,0.2,0.2,0,0.2,0.4,0,1,32.54171138,1.636274296,95.21249
73,0.2,0.2,0,0.4,0.2,0,1,20.30291312,3.24609075,86.21559
74,0.2,0.2,0,0.6,0,0,1,7.721200107,2.803126299,73.36527
75,0.2,0.2,0.2,0,0.4,0,1,55.43680354,0.12715615,99.77115
76,0.2,0.2,0.2,0.2,0.2,0,1,49.62924449,1.298779023,97.44978
77,0.2,0.2,0.2,0.4,0,0,1,15.82770365,1.146215006,93.2472
78,0.2,0.2,0.4,0,0.2,0,1,52.12007886,0.177699887,99.66022
79,0.2,0.2,0.4,0.2,0,0,1,29.98991081,1.937667487,93.93105
80,0.2,0.2,0.6,0,0,0,1,33.5052146,1.644184911,95.3223
81,0.2,0.4,0,0,0.4,0,1,49.13201487,0.145270685,99.7052
82,0.2,0.4,0,0.2,0.2,0,1,26.68204026,1.568050559,94.4494
83,0.2,0.4,0,0.4,0,0,1,8.291244113,2.574917604,76.30334
84,0.2,0.4,0.2,0,0.2,0,1,52.33590092,1.146956015,97.85547
85,0.2,0.4,0.2,0.2,0,0,1,17.69317372,1.247518596,93.41355
86,0.2,0.4,0.4,0,0,0,1,27.58148616,0.878848563,96.91202
87,0.2,0.6,0,0,0.2,0,1,38.29280382,1.066785869,97.28964
88,0.2,0.6,0,0.2,0,0,1,9.080705419,2.461812759,78.67179
89,0.2,0.6,0.2,0,0,0,1,23.47922399,0.893777973,96.33292
90,0.2,0.8,0,0,0,0,1,10.83956683,2.42093933,81.74324
91,0.4,0,0,0,0.6,0,1,55.08225235,2.08314135,96.35594
92,0.4,0,0,0.2,0.4,0,1,34.83975477,1.881043635,94.87744
93,0.4,0,0,0.4,0.2,0,1,27.35594995,1.007023536,96.44951
94,0.4,0,0,0.6,0,0,1,5.444761628,2.595202341,67.72122
95,0.4,0,0.2,0,0.4,0,1,54.87242568,0.01478805,99.97306
96,0.4,0,0.2,0.2,0.2,0,1,54.76295739,1.590253599,97.17806
97,0.4,0,0.2,0.4,0,0,1,13.8108958,1.8443882,88.21875
98,0.4,0,0.4,0,0.2,0,1,54.48607811,0,100
99,0.4,0,0.4,0.2,0,0,1,30.73759228,1.941903807,94.05773
100,0.4,0,0.6,0,0,0,1,29.93884876,1.578037674,94.99304
101,0.4,0.2,0,0,0.4,0,1,50.44902591,1.893751884,96.38202
102,0.4,0.2,0,0.2,0.2,0,1,33.03328013,1.789084339,94.86225
103,0.4,0.2,0,0.4,0,0,1,8.0202192,1.66908344,82.77396
104,0.4,0.2,0.2,0,0.2,0,1,54.1850857,1.391459134,97.49632
105,0.4,0.2,0.2,0.2,0,0,1,15.15985937,1.541763679,90.76878
106,0.4,0.2,0.4,0,0,0,1,30.07099679,1.291923828,95.88073
107,0.4,0.4,0,0,0.2,0,1,36.47260213,1.698656965,95.54991
108,0.4,0.4,0,0.2,0,0,1,10.76644497,2.811342548,79.29455
109,0.4,0.4,0.2,0,0,0,1,21.91424654,3.586510876,85.93567
110,0.4,0.6,0,0,0,0,1,5.085187174,0,100
111,0.6,0,0,0,0.4,0,1,32.41870765,1.227546124,96.35161
112,0.6,0,0,0.2,0.2,0,1,29.65531342,0.538715369,98.21582
113,0.6,0,0,0.4,0,0,1,3.640811493,1.78456328,67.1071
114,0.6,0,0.2,0,0.2,0,1,41.78255176,0.710938897,98.32695
115,0.6,0,0.2,0.2,0,0,1,17.18198514,1.551450781,91.71828
116,0.6,0,0.4,0,0,0,1,13.9519045,0.25767791,98.18659
117,0.6,0.2,0,0,0.2,0,1,37.82353203,0.74378059,98.07147
118,0.6,0.2,0,0.2,0,0,1,7.479277847,0.991571004,88.29431
119,0.6,0.2,0.2,0,0,0,1,13.44048156,2.256021412,85.62724
120,0.6,0.4,0,0,0,0,1,4.948517032,1.147601406,81.17488
121,0.8,0,0,0,0.2,0,1,11.11298042,0,100
122,0.8,0,0,0.2,0,0,1,2.585851419,2.176486885,54.29794
123,0.8,0,0.2,0,0,0,1,17.58793525,1.287377675,93.17957
124,0.8,0.2,0,0,0,0,1,7.887817687,0,100
125,1,0,0,0,0,0,1,3.803671101,2.24858118,62.8472
126,0,0,0,0,1,0.2,0.8,57.13767113,4.369802588,92.89549
127,0,0,0,0.2,0.8,0.2,0.8,55.11612139,7.307564756,88.2936
128,0,0,0,0.4,0.6,0.2,0.8,43.70154996,6.23295732,87.51774
129,0,0,0,0.6,0.4,0.2,0.8,33.26059355,6.970972078,82.67288
130,0,0,0,0.8,0.2,0.2,0.8,26.31847587,1.148925561,95.81713
131,0,0,0,1,0,0.2,0.8,19.44693005,5.903706617,76.7118
132,0,0,0.2,0,0.8,0.2,0.8,59.59753191,5.338782926,91.77843
133,0,0,0.2,0.2,0.6,0.2,0.8,60.9552139,3.8845363,94.00902
134,0,0,0.2,0.4,0.4,0.2,0.8,60.77481338,5.823526258,91.25575
135,0,0,0.2,0.6,0.2,0.2,0.8,58.33363497,6.531986727,89.92997
136,0,0,0.2,0.8,0,0.2,0.8,27.44352187,6.612168433,80.58425
137,0,0,0.4,0,0.6,0.2,0.8,57.83996604,5.553327313,91.23988
138,0,0,0.4,0.2,0.4,0.2,0.8,59.89405102,4.698548657,92.72587
139,0,0,0.4,0.4,0.2,0.2,0.8,59.00379855,5.578212677,91.36259
140,0,0,0.4,0.6,0,0.2,0.8,41.6024184,6.331574774,86.79106
141,0,0,0.6,0,0.4,0.2,0.8,60.33137239,4.173273095,93.53028
142,0,0,0.6,0.2,0.2,0.2,0.8,58.33761002,5.452036878,91.4531
143,0,0,0.6,0.4,0,0.2,0.8,40.30469607,6.374753599,86.34355
144,0,0,0.8,0,0.2,0.2,0.8,56.68380219,7.053288119,88.93378
145,0,0,0.8,0.2,0,0.2,0.8,39.62668823,7.151567094,84.71177
146,0,0,1,0,0,0.2,0.8,38.76694867,6.312000265,85.9979
147,0,0.2,0,0,0.8,0.2,0.8,54.13836639,5.762968971,90.37923
148,0,0.2,0,0.2,0.6,0.2,0.8,53.56517728,5.984937193,89.94975
149,0,0.2,0,0.4,0.4,0.2,0.8,35.77998224,4.589972996,88.63023
150,0,0.2,0,0.6,0.2,0.2,0.8,26.12606847,6.760074695,79.444
151,0,0.2,0,0.8,0,0.2,0.8,17.95618278,5.088650318,77.91848
152,0,0.2,0.2,0,0.6,0.2,0.8,59.79255019,1.837386623,97.01868
153,0,0.2,0.2,0.2,0.4,0.2,0.8,62.28573688,3.455112311,94.74434
154,0,0.2,0.2,0.4,0.2,0.2,0.8,58.89694657,5.005590772,92.16684
155,0,0.2,0.2,0.6,0,0.2,0.8,30.473866,5.49692939,84.71835
